tick,sirstate,n
574.1,2,10000
575.1,2,10000
576.1,2,10000
577.1,2,10000
578.1,2,10000
579.1,2,10000
580.1,2,10000
581.1,2,10000
582.1,2,10000
583.1,2,10000
584.1,2,10000
585.1,2,10000
586.1,2,10000
587.1,2,10000
588.1,2,10000
589.1,2,10000
590.1,2,10000
591.1,2,10000
592.1,2,10000
593.1,2,10000
594.1,2,10000
595.1,2,10000
596.1,2,10000
597.1,2,10000
598.1,2,10000
599.1,2,10000
600.1,2,10000
601.1,2,10000
602.1,2,10000
603.1,2,10000
604.1,2,10000
605.1,2,10000
606.1,2,10000
607.1,2,10000
608.1,2,10000
609.1,2,10000
610.1,2,10000
611.1,2,10000
612.1,2,10000
613.1,2,10000
614.1,2,10000
615.1,2,10000
616.1,2,10000
617.1,2,10000
618.1,2,10000
619.1,2,10000
620.1,2,10000
621.1,2,10000
622.1,2,10000
623.1,2,10000
624.1,2,10000
625.1,2,10000
626.1,2,10000
627.1,2,10000
628.1,2,10000
629.1,2,10000
630.1,2,10000
631.1,2,10000
632.1,2,10000
633.1,2,10000
634.1,2,10000
635.1,2,10000
636.1,2,10000
637.1,2,10000
638.1,2,10000
639.1,2,10000
640.1,2,10000
641.1,2,10000
642.1,2,10000
643.1,2,10000
644.1,2,10000
645.1,2,10000
646.1,2,10000
647.1,2,10000
648.1,2,10000
649.1,2,10000
650.1,2,10000
651.1,2,10000
652.1,2,10000
653.1,2,10000
654.1,2,10000
655.1,2,10000
656.1,2,10000
657.1,2,10000
658.1,2,10000
659.1,2,10000
660.1,2,10000
661.1,2,10000
662.1,2,10000
663.1,2,10000
664.1,2,10000
665.1,2,10000
666.1,2,10000
667.1,2,10000
668.1,2,10000
669.1,2,10000
670.1,2,10000
671.1,2,10000
672.1,2,10000
673.1,2,10000
674.1,2,10000
675.1,2,10000
676.1,2,10000
677.1,2,10000
678.1,2,10000
679.1,2,10000
680.1,2,10000
681.1,2,10000
682.1,2,10000
683.1,2,10000
684.1,2,10000
685.1,2,10000
686.1,2,10000
687.1,2,10000
688.1,2,10000
689.1,2,10000
690.1,2,10000
691.1,2,10000
692.1,2,10000
693.1,2,10000
694.1,2,10000
695.1,2,10000
696.1,2,10000
697.1,2,10000
698.1,2,10000
699.1,2,10000
700.1,2,10000
701.1,2,10000
702.1,2,10000
703.1,2,10000
704.1,2,10000
705.1,2,10000
706.1,2,10000
707.1,2,10000
708.1,2,10000
709.1,2,10000
710.1,2,10000
711.1,2,10000
712.1,2,10000
713.1,2,10000
714.1,2,10000
715.1,2,10000
716.1,2,10000
717.1,2,10000
718.1,2,10000
719.1,2,10000
720.1,2,10000
721.1,2,10000
722.1,2,10000
723.1,2,10000
724.1,2,10000
725.1,2,10000
726.1,2,10000
727.1,2,10000
728.1,2,10000
729.1,2,10000
730.1,2,10000
731.1,2,10000
732.1,2,10000
733.1,2,10000
734.1,2,10000
735.1,2,10000
736.1,2,10000
737.1,2,10000
738.1,2,10000
739.1,2,10000
740.1,2,10000
741.1,2,10000
742.1,2,10000
743.1,2,10000
744.1,2,10000
745.1,2,10000
746.1,2,10000
747.1,2,10000
748.1,2,10000
749.1,2,10000
750.1,2,10000
751.1,2,10000
752.1,2,10000
753.1,2,10000
754.1,2,10000
755.1,2,10000
756.1,2,10000
757.1,2,10000
758.1,2,10000
759.1,2,10000
760.1,2,10000
761.1,2,10000
762.1,2,10000
763.1,2,10000
764.1,2,10000
765.1,2,10000
766.1,2,10000
767.1,2,10000
768.1,2,10000
769.1,2,10000
770.1,2,10000
771.1,2,10000
772.1,2,10000
773.1,2,10000
774.1,2,10000
775.1,2,10000
776.1,2,10000
777.1,2,10000
778.1,2,10000
779.1,2,10000
780.1,2,10000
781.1,2,10000
782.1,2,10000
783.1,2,10000
784.1,2,10000
785.1,2,10000
786.1,2,10000
787.1,2,10000
788.1,2,10000
789.1,2,10000
790.1,2,10000
791.1,2,10000
792.1,2,10000
793.1,2,10000
794.1,2,10000
795.1,2,10000
796.1,2,10000
797.1,2,10000
798.1,2,10000
799.1,2,10000
800.1,2,10000
801.1,2,10000
802.1,2,10000
803.1,2,10000
804.1,2,10000
805.1,2,10000
806.1,2,10000
807.1,2,10000
808.1,2,10000
809.1,2,10000
810.1,2,10000
811.1,2,10000
812.1,2,10000
813.1,2,10000
814.1,2,10000
815.1,2,10000
816.1,2,10000
817.1,2,10000
818.1,2,10000
819.1,2,10000
820.1,2,10000
821.1,2,10000
822.1,2,10000
823.1,2,10000
824.1,2,10000
825.1,2,10000
826.1,2,10000
827.1,2,10000
828.1,2,10000
829.1,2,10000
830.1,2,10000
831.1,2,10000
832.1,2,10000
833.1,2,10000
834.1,2,10000
835.1,2,10000
836.1,2,10000
837.1,2,10000
838.1,2,10000
839.1,2,10000
840.1,2,10000
841.1,2,10000
842.1,2,10000
843.1,2,10000
844.1,2,10000
845.1,2,10000
846.1,2,10000
847.1,2,10000
848.1,2,10000
849.1,2,10000
850.1,2,10000
851.1,2,10000
852.1,2,10000
853.1,2,10000
854.1,2,10000
855.1,2,10000
856.1,2,10000
857.1,2,10000
858.1,2,10000
859.1,2,10000
860.1,2,10000
861.1,2,10000
862.1,2,10000
863.1,2,10000
864.1,2,10000
865.1,2,10000
866.1,2,10000
867.1,2,10000
868.1,2,10000
869.1,2,10000
870.1,2,10000
871.1,2,10000
872.1,2,10000
873.1,2,10000
874.1,2,10000
875.1,2,10000
876.1,2,10000
877.1,2,10000
878.1,2,10000
879.1,2,10000
880.1,2,10000
881.1,2,10000
882.1,2,10000
883.1,2,10000
884.1,2,10000
885.1,2,10000
886.1,2,10000
887.1,2,10000
888.1,2,10000
889.1,2,10000
890.1,2,10000
891.1,2,10000
892.1,2,10000
893.1,2,10000
894.1,2,10000
895.1,2,10000
896.1,2,10000
897.1,2,10000
898.1,2,10000
899.1,2,10000
900.1,2,10000
901.1,2,10000
902.1,2,10000
903.1,2,10000
904.1,2,10000
905.1,2,10000
906.1,2,10000
907.1,2,10000
908.1,2,10000
909.1,2,10000
910.1,2,10000
911.1,2,10000
912.1,2,10000
913.1,2,10000
914.1,2,10000
915.1,2,10000
916.1,2,10000
917.1,2,10000
918.1,2,10000
919.1,2,10000
920.1,2,10000
921.1,2,10000
922.1,2,10000
923.1,2,10000
924.1,2,10000
925.1,2,10000
926.1,2,10000
927.1,2,10000
928.1,2,10000
929.1,2,10000
930.1,2,10000
931.1,2,10000
932.1,2,10000
933.1,2,10000
934.1,2,10000
935.1,2,10000
936.1,2,10000
937.1,2,10000
938.1,2,10000
939.1,2,10000
940.1,2,10000
941.1,2,10000
942.1,2,10000
943.1,2,10000
944.1,2,10000
945.1,2,10000
946.1,2,10000
947.1,2,10000
948.1,2,10000
949.1,2,10000
950.1,2,10000
951.1,2,10000
952.1,2,10000
953.1,2,10000
954.1,2,10000
955.1,2,10000
956.1,2,10000
957.1,2,10000
958.1,2,10000
959.1,2,10000
960.1,2,10000
961.1,2,10000
962.1,2,10000
963.1,2,10000
964.1,2,10000
965.1,2,10000
966.1,2,10000
967.1,2,10000
968.1,2,10000
969.1,2,10000
970.1,2,10000
971.1,2,10000
972.1,2,10000
973.1,2,10000
974.1,2,10000
975.1,2,10000
976.1,2,10000
977.1,2,10000
978.1,2,10000
979.1,2,10000
980.1,2,10000
981.1,2,10000
982.1,2,10000
983.1,2,10000
984.1,2,10000
985.1,2,10000
986.1,2,10000
987.1,2,10000
988.1,2,10000
989.1,2,10000
990.1,2,10000
991.1,2,10000
992.1,2,10000
993.1,2,10000
994.1,2,10000
995.1,2,10000
996.1,2,10000
997.1,2,10000
998.1,2,10000
999.1,2,10000
1000.1,2,10000
1001.1,2,10000
1002.1,2,10000
1003.1,2,10000
1004.1,2,10000
1005.1,2,10000
1006.1,2,10000
1007.1,2,10000
1008.1,2,10000
1009.1,2,10000
1010.1,2,10000
1011.1,2,10000
1012.1,2,10000
1013.1,2,10000
1014.1,2,10000
1015.1,2,10000
1016.1,2,10000
1017.1,2,10000
1018.1,2,10000
1019.1,2,10000
1020.1,2,10000
1021.1,2,10000
1022.1,2,10000
1023.1,2,10000
1024.1,2,10000
1025.1,2,10000
1026.1,2,10000
1027.1,2,10000
1028.1,2,10000
1029.1,2,10000
1030.1,2,10000
1031.1,2,10000
1032.1,2,10000
1033.1,2,10000
1034.1,2,10000
1035.1,2,10000
1036.1,2,10000
1037.1,2,10000
1038.1,2,10000
1039.1,2,10000
1040.1,2,10000
1041.1,2,10000
1042.1,2,10000
1043.1,2,10000
1044.1,2,10000
1045.1,2,10000
1046.1,2,10000
1047.1,2,10000
1048.1,2,10000
1049.1,2,10000
1050.1,2,10000
1051.1,2,10000
1052.1,2,10000
1053.1,2,10000
1054.1,2,10000
1055.1,2,10000
1056.1,2,10000
1057.1,2,10000
1058.1,2,10000
1059.1,2,10000
1060.1,2,10000
1061.1,2,10000
1062.1,2,10000
1063.1,2,10000
1064.1,2,10000
1065.1,2,10000
1066.1,2,10000
1067.1,2,10000
1068.1,2,10000
1069.1,2,10000
1070.1,2,10000
1071.1,2,10000
1072.1,2,10000
1073.1,2,10000
1074.1,2,10000
1075.1,2,10000
1076.1,2,10000
1077.1,2,10000
1078.1,2,10000
1079.1,2,10000
1080.1,2,10000
1081.1,2,10000
1082.1,2,10000
1083.1,2,10000
1084.1,2,10000
1085.1,2,10000
1086.1,2,10000
1087.1,2,10000
1088.1,2,10000
1089.1,2,10000
1090.1,2,10000
1091.1,2,10000
1092.1,2,10000
1093.1,2,10000
1094.1,2,10000
1095.1,2,10000
1096.1,2,10000
1097.1,2,10000
1098.1,2,10000
1099.1,2,10000
1100.1,2,10000
1101.1,2,10000
1102.1,2,10000
1103.1,2,10000
1104.1,2,10000
1105.1,2,10000
1106.1,2,10000
1107.1,2,10000
1108.1,2,10000
1109.1,2,10000
1110.1,2,10000
1111.1,2,10000
1112.1,2,10000
1113.1,2,10000
1114.1,2,10000
1115.1,2,10000
1116.1,2,10000
1117.1,2,10000
1118.1,2,10000
1119.1,2,10000
1120.1,2,10000
1121.1,2,10000
1122.1,2,10000
1123.1,2,10000
1124.1,2,10000
1125.1,2,10000
1126.1,2,10000
1127.1,2,10000
1128.1,2,10000
1129.1,2,10000
1130.1,2,10000
1131.1,2,10000
1132.1,2,10000
1133.1,2,10000
1134.1,2,10000
1135.1,2,10000
1136.1,2,10000
